,Text_y,Label
0,"['nice', 'selection', 'breakfast']",1
1,"['abit', 'pricey']",-1
2,['absolute'],1
3,"['hour', 'recive', 'order']",-1
4,['alright'],1
5,"['always', 'delicious', 'fresh', 'hot', 'tasty', 'thank']",1
6,"['always', 'great', 'food']",1
7,"['always', 'order', 'turkish', 'palace', 'food', 'delicious']",1
8,"['always', 'good', 'thanks']",1
9,"['always', 'best', 'team']",1
10,"['always', 'best', 'thank', 'everything']",1
11,"['always', 'good']",1
12,"['always', 'tasty', 'lactose', 'free']",1
13,['amaaaaazing'],1
14,['amazing'],1
15,"['amazing', 'dekicious']",1
16,"['amazing', 'food']",1
17,"['amazing', 'food', 'always']",1
18,"['amazing', 'food']",1
19,"['amazing', 'place', 'delicious']",1
20,"['amazing', 'taste', 'like', 'eating', 'lebanese', 'restaurant', 'beirut']",1
21,"['amazing', 'thats']",1
22,['amazing'],1
23,"['among', 'orders', 'first', 'time', 'order', 'restaurant', 'without', 'regrets', 'really', 'good', 'affordable', 'price', 'time']",1
24,['anazing'],1
25,"['appereciate', 'great']",1
26,"['authentic', 'good', 'delicious']",1
27,"['avocado', 'juice', 'ordered', 'bitter', 'taste', 'checked', 'sending']",-1
28,['awesome'],1
29,['bad'],-1
30,"['bad', 'resturant']",-1
31,"['bad', 'servies']",-1
32,"['bad', 'spoiled', 'food']",-1
35,"['bery', 'delicious']",1
36,"['besides', 'food', 'delicious', 'sushi', 'box', 'extra', 'speciality', 'truly', 'take', 'care', 'customer', 'thank', 'keep', 'greatness', 'please']",1
37,['best'],1
38,['best'],1
39,"['best', 'coffee']",1
40,"['best', 'coffee', 'ever']",1
41,"['best', 'cookies', 'oman']",1
42,"['best', 'donuts', 'far', 'fluffy']",1
43,"['best', 'everrrtr']",1
44,"['best', 'foood']",1
45,"['best', 'iced', 'mocha']",1
46,"['best', 'indain', 'resturant', 'oman', 'mashallah']",1
47,"['best', 'pizza', 'far', 'muscat']",1
48,"['best', 'popcorn', 'nachos']",1
49,"['best', 'restau', 'oman']",1
50,"['best', 'restau', 'oman']",1
51,"['best', 'restaurant', 'muscat']",1
52,"['best', 'restaurant', 'muscat']",1
53,"['best', 'resturant']",1
54,"['better', 'lots', 'resturants', 'area']",1
55,"['bill', 'strawberry', 'lemonade', 'regular', 'rials', 'missing']",-1
56,"['sliders', 'burgers', 'overcooked', 'patty', 'dry', 'first', 'time', 'experiencing', 'disappointed', 'taste']",-1
57,"['box', 'opened']",-1
59,"['buffalo', 'chicken', 'burger', 'chewy']",-1
60,"['buffalo', 'shrimps', 'overcooked', 'bad', 'smell', 'oily', 'also', 'expensive', 'comparing', 'quality', 'received']",-1
63,"['came', 'plastic', 'bag', 'tin', 'described', 'app']",-1
64,"['carne', 'asada', 'steak', 'tough', 'cant', 'eat', 'ordered', 'extra', 'guacamole', 'sour', 'cream', 'delivered', 'spicy', 'eat', 'food']",-1
65,"['ceazer', 'salad', 'without', 'sauce', 'crouton']",-1
66,"['cheap', 'bad']",-1
67,"['chicken', 'fillet', 'sandwich', 'good', 'one', 'problem', 'side', 'thought', 'lemonade', 'mojito', 'wasted', 'money', 'lemon', 'juice', 'little', 'berry', 'bits']",1
68,"['chicken', 'manchow', 'soup', 'smelt', 'like', 'fish', 'manchow', 'soup', 'maybe', 'utensils', 'clean', 'dispose', 'entire', 'portion', 'soup', 'dissapointing', 'rial', 'soup', 'chicken', 'tikka', 'lababdar', 'must', 'great', 'taste']",-1
69,"['clod', 'stone', 'always', 'great']",1
71,"['coffe', 'good', 'thanks']",1
72,"['coffee', 'bad', 'sandwich', 'oily']",-1
73,['cold'],-1
74,['confusion'],-1
75,['cool'],1
76,['cool'],1
78,"['crepe', 'hard', 'lotus', 'crepe', 'burnt', 'dont', 'recommend', 'better', 'dip', 'amp', 'dip']",-1
79,"['crepe', 'hard', 'lotus', 'crepe', 'burnt', 'dont', 'recommend', 'better', 'dip', 'amp', 'dip']",-1
80,['decent'],1
81,['delicious'],1
82,['delicious'],1
83,['delicious'],1
84,['delicious'],1
85,['delicious'],1
86,"['delicious', 'burgers']",1
87,"['delicious', 'cheese', 'fries', 'really', 'respond', 'customers', 'requests', 'thank', 'much']",1
88,"['delicious', 'chiken', 'pesto', 'sandwish']",1
89,"['delicious', 'croissants', 'arrived', 'fresh', 'warm']",1
90,['delicious'],1
91,"['delicious', 'food']",1
92,"['delicious', 'food', 'excellent', 'quality']",1
93,"['deliciouse', 'mixed', 'grills']",1
95,"['delivered', 'ontime']",1
96,"['receive', 'ordered']",1
97,"['didnt', 'get', 'full', 'order']",1
98,"['didnt', 'get', 'order', 'deiver', 'communicate']",1
99,"['didnt', 'give', 'back', 'change']",-1
101,"['diet', 'pepsi', 'missing']",-1
102,"['disappointing', 'delivered', 'food', 'utensils', 'eat', 'loaded', 'fries', 'without', 'fork', 'size', 'milkshake', 'worth', 'price']",-1
103,"['disappointing', 'order', 'brought', 'half', 'tea', 'harmlek', 'never', 'arrived']",-1
104,"['doughnuts', 'old', 'fresh', 'toppings', 'shocked', 'get', 'rd', 'doughnuts', 'fan', 'never', 'experiebced', 'wen', 'purchased', 'directly']",-1
105,"['drink', 'expired']",-1
106,"['drinks', 'sauces', 'missing', 'pizza', 'cold']",-1
107,"['everything', 'tried', 'yum', 'love', 'regular', 'teokbokki', 'better', 'order', 'regular', 'one', 'spicy', 'one', 'like', 'one', 'seen', 'spicy', 'noodles', 'challenge', 'toooo', 'spicy', 'rest', 'everything', 'mindblowing', 'good', 'quantity']",1
108,"['egg', 'best', 'ever', 'service', 'ffffaaasssttteerrrr', 'dounat']",1
109,"['every', 'thing', 'good']",1
110,"['everythinb', 'great']",1
111,"['everytime', 'perfect', 'bateel']",1
112,['ew'],-1
113,['excellent'],1
114,"['excellent', 'super', 'tasty', 'food']",1
115,"['excellent', 'absolutely', 'delicious']",1
116,"['excellent', 'always']",1
117,"['excellent', 'driver']",1
118,"['excellent', 'food']",1
119,"['excellent', 'food', 'service']",1
120,"['excellent', 'food', 'good', 'restaurant']",1
121,"['excellent', 'service']",1
122,"['excellent', 'service']",1
123,"['excellent', 'taste', 'staff', 'confused', 'witb', 'ur', 'order', 'call', 'ensure', 'u', 'get', 'correct', 'order', 'thumbs']",1
124,['exellent'],1
125,['exellent'],1
126,['expensive'],-1
127,"['extremely', 'small', 'portion']",-1
128,"['extrnely', 'poor', 'product', 'extrmelg', 'expebsive', 'pee', 'pic', 'small', 'portion']",-1
130,['fantastic'],1
131,['fast'],1
132,"['fast', 'good']",1
133,"['fast', 'goood']",1
134,"['fast', 'great', 'food']",1
135,"['fast', 'uber']",1
136,"['fatayer', 'yummy', 'light', 'flavorful', 'definatly', 'order']",1
137,"['favorite', 'food']",1
138,"['favourite', 'comfort', 'food']",1
139,"['favourite', 'pasta']",1
140,"['fhe', 'king', 'prawns', 'salad', 'looked', 'nothing', 'like', 'pbotos', 'prawns', 'small', 'king', 'size', 'tha', 'lettuce', 'soggy', 'kich', 'sauce', 'ill', 'mot', 'order']",-1
141,"['first', 'time', 'ordering', 'delicious', 'quality', 'yogurt', 'absolutely', 'phenomenal', 'great', 'flavors', 'excellent', 'choice', 'enjoy', 'experiencing', 'wonderful', 'customer', 'service', 'yogutland', 'team', 'help', 'choose', 'flavors']",1
142,"['first', 'time', 'ordering', 'delicious', 'quality', 'yogurt', 'absolutely', 'phenomenal', 'great', 'flavors', 'excellent', 'choice', 'enjoy', 'experiencing', 'wonderful', 'customer', 'service', 'yogutland', 'team', 'help', 'choose', 'flavors']",1
143,"['food', 'came', 'cold', 'fries', 'fresh']",-1
144,"['food', 'came', 'within', 'mins', 'wasnt', 'warm', 'tasty', 'three', 'ordered']",-1
145,"['food', 'fresh', 'yummy']",1
146,"['food', 'bit', 'cold', 'still', 'tastey', 'kimchi', 'didnt', 'meet', 'expectations']",-1
147,"['food', 'cold', 'driver', 'didnt', 'bag', 'keep', 'food', 'hot']",-1
151,"['food', 'missing', 'ans', 'drink', 'spilt', 'remaining', 'food']",-1
152,"['food', 'expected']",-1
153,"['food', 'quality', 'good', 'compared', 'price']",1
154,"['food', 'taste', 'bad']",-1
156,"['food', 'badall', 'family', 'got', 'sick']",-1
157,"['food', 'average']",-1
158,"['food', 'burned']",-1
159,"['food', 'cold']",-1
160,"['food', 'cold', 'soggy']",-1
161,"['food', 'delivered', 'smell', 'cigarretes']",-1
162,"['food', 'good']",1
164,"['food', 'great', 'terms', 'quality', 'quantity']",1
165,"['food', 'hot', 'soggy', 'didnt', 'give', 'ranch', 'sauce', 'wings', 'generally', 'taste', 'expectations', 'rocomama', 'travel', 'well']",-1
166,"['food', 'messy', 'cold', 'hot', 'pepsi']",-1
168,"['food', 'pretty', 'good']",1
170,"['food', 'oily']",-1
171,"['food', 'bland']",-1
172,"['food', 'bland']",-1
173,"['food', 'without', 'kind', 'sauces']",-1
174,"['food', 'wasnt', 'fresh', 'like', 'cold', 'reheated']",-1
176,"['big', 'cookies', 'box', 'didnt', 'get', 'flavor', 'cookies', 'chose', 'perhaps', 'shortage', 'tried', 'call', 'tell', 'replace', 'cookies', 'flavor', 'didnt', 'reply', 'call', 'recommend', 'messaging', 'people', 'whatsapp', 'dont', 'reply', 'phone', 'call']",-1
177,['fresh'],1
178,"['fresh', 'delicious']",1
179,"['geilled', 'items', 'hot', 'enough', 'upon', 'arrival', 'importntly', 'found', 'live', 'cocktoach', 'delivery', 'box', 'disturbing', 'clearly', 'unsanitary']",-1
180,"['good', 'beef', 'mashroom', 'good']",1
181,"['good', 'healthy']",1
182,"['good', 'time']",1
183,"['good', 'always']",1
184,"['good', 'better', 'somehow', 'tasteless']",1
185,"['good', 'food']",1
186,"['good', 'food', 'pakkiing']",1
187,"['good', 'food', 'prices', 'raised', 'portions', 'smaller', 'ripoff']",1
188,"['good', 'grilled']",1
189,"['good', 'job']",1
190,"['good', 'kunafa', 'best', 'oman']",1
191,"['good', 'packing', 'best', 'crepe', 'town']",1
192,"['good', 'perfect', 'amazing']",1
193,"['good', 'price', 'great', 'taste']",1
194,"['good', 'service']",1
195,"['good', 'services']",1
196,"['good', 'taste', 'food']",1
197,"['good', 'taste', 'food']",1
198,"['good', 'timing', 'dealivery']",1
199,"['goodkebabs', 'salty']",1
200,['goods'],1
201,"['goood', 'brought', 'ordenary', 'plastic', 'bag']",1
202,['goooood'],1
203,"['got', 'wrong', 'order']",1
204,['gr'],1
205,['gr'],1
206,['great'],1
207,"['great', 'amd', 'fast']",1
208,"['great', 'burgers']",1
209,"['great', 'food']",1
210,"['great', 'food', 'feel', 'eating', 'sweet', 'test', 'expect']",1
211,"['great', 'food', 'always']",1
212,"['great', 'food', 'usual']",1
213,"['great', 'food', 'received', 'wrong', 'order']",1
214,"['great', 'food', 'quality', 'love']",1
215,"['great', 'natural', 'flavors']",1
216,"['great', 'natural', 'flavors']",1
217,"['great', 'pizzas', 'sure', 'last', 'time']",1
218,"['great', 'product', 'service']",1
219,"['great', 'product', 'service', 'excellent']",1
220,"['great', 'service']",1
221,"['great', 'service', 'product']",1
222,"['great', 'service', 'always']",1
223,"['great', 'stuff']",1
224,"['great', 'value', 'great', 'taste']",1
225,"['grilled', 'chicken', 'amazing']",1
226,"['didnt', 'give', 'change']",-1
227,"['dropped', 'wrong', 'order', 'call', 'tell', 'made', 'mistke']",-1
228,"['hung', 'order', 'door', 'left', 'could', 'instruct']",-1
229,"['left', 'food', 'floor', 'leave', 'food', 'isnt', 'well', 'packed', 'left', 'floor', 'didnt', 'even', 'call', 'tell', 'hes', 'outisde', 'left', 'flooor', 'outside', 'next', 'car', 'tire', 'didnt', 'choose', 'contactless', 'delievry', 'fyi', 'dog', 'couldve', 'taken', 'food']",-1
230,"['left', 'food', 'floor', 'leave', 'food', 'isnt', 'well', 'packed', 'left', 'floor', 'didnt', 'even', 'call', 'tell', 'hes', 'outisde', 'left', 'flooor', 'outside', 'next', 'car', 'tire', 'didnt', 'choose', 'contactless', 'delievry', 'fyi', 'dog', 'couldve', 'taken', 'food']",-1
231,"['took', 'money']",-1
232,"['fast', 'kind']",1
233,"['would', 'food', 'door', 'argue', 'get', 'hime', 'bring', 'food', 'first', 'floor']",-1
234,"['hes', 'calling', 'even', 'though', 'told', 'im', 'coming', 'minute', 'send', 'need', 'annoy']",-1
237,"['hilal', 'belkin', 'amazing']",1
238,"['hot', 'dog', 'croissant', 'spicy']",-1
239,"['hot', 'delicious', 'fast']",1
240,"['houmous', 'testy']",-1
241,"['always', 'order', 'chicken', 'bbq', 'lauriat', 'always', 'ice', 'tea', 'day', 'didnt', 'give', 'ice', 'tea', 'dissappointed']",-1
242,"['satisfied', 'meals', 'clean', 'delicious', 'team', 'wonderful', 'bad', 'im', 'going', 'leave', 'tonight', 'normally', 'send', 'free', 'meal', 'last', 'day', 'well', 'done', 'team', 'algeria']",1
243,"['ask', 'thing', 'els']",-1
244,"['asked', 'paid', 'vanilla', 'pump', 'got', 'iced', 'latte', 'vanilla', 'flavor', 'paid']",-1
245,"['asked', 'change', 'didnt']",-1
246,"['order', 'coloured', 'burger', 'bun', 'ordered', 'normal', 'bun', 'got', 'one', 'colours']",-1
247,"['receive', 'invoice']",-1
248,"['receive', 'correct', 'order', 'allergic', 'garlic', 'order', 'garlic']",-1
250,"['didnt', 'get', 'tge', 'right', 'size']",-1
251,"['didnt', 'choice', 'choose', 'type', 'cookie', 'wrote', 'special', 'request', 'totally', 'ignored']",-1
252,"['didnt', 'receive', 'drink', 'meal']",-1
253,"['didnt', 'receive', 'iteams']",-1
254,"['didnt', 'received', 'ordered']",-1
255,"['didnt', 'recieve', 'order', 'rider', 'lied', 'call', 'center', 'agent', 'rider', 'never', 'contact', 'reason', 'mot', 'delivering', 'order', 'location', 'far', 'wated', 'take', 'another', 'orders', 'make', 'money', 'kind', 'foolish', 'untrained', 'rider', 'use', 'talabat', 'never', 'recomend', 'talabat', 'call', 'center', 'didnt', 'solution', 'problem']",-1
256,"['didnt', 'recieved', 'order']",-1
257,"['felt', 'got', 'bad', 'quality', 'amount', 'paid', 'really', 'small']",-1
258,"['felt', 'got', 'great', 'quality', 'amount', 'paid']",1
259,"['felt', 'got', 'great', 'quality', 'amount', 'paid', 'food', 'delicious', 'surpassed', 'expectations', 'impressed', 'fast', 'order', 'arrived', 'food', 'packaging', 'perfect']",1
260,"['felt', 'got', 'great', 'quality', 'amount', 'paid', 'food', 'delicious', 'surpassed', 'expectations', 'food', 'packaging', 'perfect', 'impressed', 'fast', 'order', 'arrived']",1
261,"['ordered', 'turkey', 'breast', 'meal', 'received', 'tuna', 'sandwich', 'meal']",-1
262,"['havent', 'recieved', 'order']",-1
263,"['like', 'talabat']",1
264,['love'],1
265,"['love', 'mushroom', 'rissotto']",1
266,"['love', 'service', 'food']",1
267,"['loved', 'order', 'packaged', 'fresh', 'good', 'wow', 'mediterranean', 'salad', 'tastier']",1
268,"['loved', 'order', 'packaged', 'order', 'arrived', 'fast', 'felt', 'got', 'great', 'quality', 'amount', 'paid', 'food', 'delicious', 'surpassed', 'expectations']",1
269,"['missed', 'bread', 'butter', 'usually', 'comes', 'salad']",-1
270,"['order', 'lamb', 'give', 'chicken']",-1
271,"['order', 'tum', 'yum', 'seafood', 'one', 'shrimp', 'one', 'pice', 'fish']",-1
272,"['orderd', 'raisin', 'roll', 'almond', 'croissant', 'unfortnately', 'itemes', 'put', 'together', 'small', 'paper', 'bag', 'squashed', 'please', 'make', 'sure', 'package', 'pastry', 'seperate', 'bag']",-1
273,"['orderd', 'brownie', 'cookies', 'gave', 'cup', 'cookies', 'dont', 'eat', 'cause', 'dont', 'like']",-1
274,"['ordered', 'box', 'fries', 'one', 'riyal', 'count', 'many', 'fries', 'box', 'looking', 'super', 'socked', 'oil', 'little', 'one', 'riyal', 'overpriced']",-1
275,"['ordered', 'almond', 'croissant', 'got', 'plain', 'one']",-1
276,"['ordered', 'iced', 'drink', 'strived', 'without', 'straw']",-1
277,"['ordered', 'hot', 'spanish', 'latte', 'recive', 'cold', 'one']",-1
278,"['ordered', 'grape', 'bubble', 'tea', 'cream', 'received', 'without', 'cream']",-1
279,"['ordered', 'pistachio', 'milkshake', 'didnt', 'like', 'couldnt', 'taste', 'pistachio', 'milkshake', 'something', 'foamy', 'cold', 'simply', 'foam', 'order']",-1
280,"['ordered', 'pistachio', 'waffle', 'strawberries', 'received', 'nutella', 'waffle', 'without', 'strawberries', 'plus', 'coffee', 'already', 'cold']",-1
281,"['ordered', 'pizza', 'disappointing']",-1
282,"['ordered', 'froyo', 'yogurtland', 'talabat', 'taste', 'good', 'please', 'try', 'varied', 'varieties', 'falvours', 'personal', 'choice', 'plain', 'tart', 'selling', 'product']",1
283,"['ordered', 'salted', 'caramel', 'flavour', 'amp', 'tooo', 'good', 'liked', 'taste', 'flavour', 'vl', 'recommend', 'flavour', 'rating', 'njoyed', 'lot']",1
284,"['ordered', 'salted', 'caramel', 'flavour', 'amp', 'tooo', 'good', 'liked', 'taste', 'flavour', 'vl', 'recommend', 'flavour', 'rating', 'njoyed', 'lot']",1
287,"['ordered', 'super', 'size', 'burrito', 'small', 'definitely', 'big', 'knew', 'would', 'ordered', 'minor', 'thing', 'napkins', 'packaging', 'would', 'expect', 'least', 'one']",-1
288,"['ordered', 'frozen', 'yoghurt', 'kids', 'said', 'deliveted', 'within', 'mins', 'nearly', 'hour', 'got', 'knew', 'would', 'take', 'long', 'wouldnt', 'bought', 'disappointed']",-1
289,"['ordered', 'tiramisu', 'came', 'frozen', 'note', 'saying', 'eat', 'mins', 'disappointing', 'say', 'least']",-1
290,"['paid', 'vanilla', 'latte', 'extra', 'shot', 'caramel', 'refund', 'got', 'large', 'latte']",-1
291,"['paid', 'extra', 'portions', 'receive']",-1
292,"['paid', 'less', 'wrong', 'order']",-1
293,"['payed', 'almost', 'rials', 'got', 'packaging', 'resturants', 'charge', 'baisa', 'breakfast', 'shameful']",-1
294,"['recieved', 'wrog', 'order']",-1
295,"['recive', 'covered', 'bag', 'extra', 'cousion', 'regrad', 'covid', 'expected', 'top', 'cup', 'coverd', 'plastic', 'wrap', 'thank']",-1
296,"['recived', 'wrong', 'order']",-1
297,"['required', 'add', 'cheese', 'add']",-1
298,"['rqust', 'cut', 'said', 'job']",-1
299,"['said', 'spaicy', 'souse', 'ask', 'peper']",-1
300,"['suggest', 'mandoos', 'reduce', 'quantity', 'meal', 'price', 'reduction', 'meal', 'two', 'person']",-1
301,"['think', 'charge', 'twice', 'order', 'could', 'please', 'correct']",-1
302,"['think', 'charge', 'twice', 'order', 'could', 'please', 'correct']",-1
303,"['thought', 'dynamite', 'container', 'pic', 'going', 'got', 'really', 'small', 'container', 'hungry', 'guys', 'tricked']",-1
304,"['ticked', 'cutleries', 'didnot', 'include', 'anything']",-1
305,"['used', 'order', 'city', 'dounts', 'however', 'time', 'experience', 'good', 'thought']",-1
306,"['impressed', 'fast', 'order', 'arrived']",1
307,"['impressed', 'fast', 'order', 'arrived', 'felt', 'got', 'great', 'quality', 'amount', 'paid']",1
308,"['impressed', 'fast', 'order', 'arrived', 'food', 'packaging', 'perfect']",1
309,"['disappointed', 'remember', 'ordered', 'food', 'recieve', 'exactly', 'ordered', 'iced', 'latte', 'ice', 'totally', 'melted', 'teast', 'like', 'drinking', 'water']",-1
310,"['surprised', 'amount', 'food', 'left', 'hungry', 'used', 'order', 'amount', 'food', 'decreased']",-1
311,"['call', 'make', 'complaint', 'chicken', 'katsu', 'ordered', 'definitely', 'reheated', 'cooked', 'previously', 'freezer', 'horrendous', 'experience']",-1
312,"['writ', 'spical', 'request', 'twis', 'egnor']",-1
313,"['ice', 'cream', 'almost', 'fully', 'melted', 'delivered']",-1
314,"['ice', 'cream', 'melted', 'package', 'open']",-1
315,"['could', 'share', 'picture', 'would', 'oz', 'coup', 'wasnt', 'even', 'half', 'full', 'thats', 'despicable', 'behaviour', 'damn', 'ashamed', 'conduct', 'post', 'pictures', 'facebook', 'instagram', 'city', 'centre']",-1
316,"['could', 'share', 'picture', 'would', 'oz', 'coup', 'wasnt', 'even', 'half', 'full', 'thats', 'despicable', 'behaviour', 'damn', 'ashamed', 'conduct', 'post', 'pictures', 'facebook', 'instagram', 'city', 'centre']",-1
317,"['picture', 'meal', 'big', 'give', 'diffrent', 'size']",-1
318,"['inconvenience', 'caused', 'due', 'missing', 'items']",-1
319,"['instead', 'enjoying', 'ghe', 'salad', 'busy', 'picking', 'onions', 'mentioned', 'dish', 'description']",-1
320,"['wired', 'flavor', 'hurted', 'toung']",-1
321,"['much', 'coconut', 'nuts', 'dry', 'fruit']",-1
322,"['best', 'allover', 'gcc', 'thank', 'shawarma', 'factory']",1
323,"['lacked', 'beef', 'quality']",-1
324,"['exellent', 'survice', 'client', 'polite', 'gentle']",1
325,"['really', 'good']",1
326,"['really', 'good']",1
327,"['best', 'cookie', 'ive', 'ever', 'ate']",1
328,['bad'],-1
329,"['wrong', 'item']",-1
330,"['wasnt', 'mentioned', 'contains', 'onions', 'taste', 'good', 'expected', 'special', 'request', 'ignored']",-1
331,"['item', 'healthy', 'found', 'inside', 'stone']",-1
332,"['items', 'missed', 'upset']",-1
333,"['items', 'chosen', 'list', 'avaiable', 'ordering', 'need', 'update', 'lists']",-1
334,"['items', 'mentiones', 'available', 'isnt', 'asked', 'wanted', 'totally', 'ignored', 'order', 'called', 'gave', 'attitude', 'instead', 'apologizing', 'waste', 'money']",-1
335,"['star', 'turkish', 'sweet', 'compared', 'turkish', 'baklava', 'give', 'ok', 'wow', 'like', 'real', 'turkish', 'sweet']",1
336,['goooood'],1
337,"['korean', 'food']",-1
338,"['even', 'half', 'portion']",-1
339,"['really', 'small']",-1
340,"['said', 'buy', 'get', 'one', 'received', 'item']",-1
341,['woooowwww'],1
342,"['kebab', 'delicious']",1
343,"['kebab', 'highly', 'recommended']",1
344,"['kebba', 'good', 'mix', 'grill', 'normal', 'small', 'portion']",1
345,"['keep', 'ip', 'good', 'work']",1
346,['keep'],1
347,"['keep', 'good', 'workmay', 'god', 'bless']",1
349,"['labeling', 'burgers', 'would', 'good', 'know', 'whaich', 'one']",-1
350,"['le', 'petit', 'paris', 'good', 'fresh', 'used']",-1
351,"['literally', 'best', 'buffalo', 'wings', 'ive', 'ever', 'tried']",1
352,['love'],1
353,['love'],1
354,"['love', 'burritos']",1
355,"['love', 'restaurant']",1
356,"['love', 'u', 'guys']",1
357,['loved'],1
358,"['loved', 'want', 'pizza', 'guys', 'know', 'pizza']",1
359,['lovely'],1
360,"['lovly', 'food', 'price', 'wise', 'lil', 'expensive']",-1
361,"['make', 'sure', 'recive', 'fresh', 'burgers']",-1
362,"['many', 'thanks', 'reliable', 'every', 'time', 'hot', 'fresh', 'delicious']",1
